,Drosophila melanogaster,Drosophila simulans,Drosophila hydei,Scaptodrosophila lattivitata,Drosophila immigrans,Drosophila subpulchrella,Drosophila suzukii,Drosophila biarmipes,Other,Carpophilus davidsoni,Carpophilus nr.dimidiatus,Carpophilus hemipterus,Urophorus humeralis,Brachypeplus Sp,carpophilus other,Synthetic Drosophilidae,Synthetic Tephritidae,Synthetic Culicidae,Synthetic Nitidulidae,Synthetic Cerambycidae,Synthetic Tortricidae,Synthetic Crambidae,Synthetic Aphididae,Synthetic Triozidae,Synthetic Apidae,Synthetic Siricidae,Synthetic Acrididae,Synthetic Thripidae
D250M3-ex2,37,25,100,82,0,1,5,1,,,,,,,,,,,,,,,,,,,,
D250M4-ex2,100,25,0,104,15,1,5,,,,,,,,,,,,,,,,,,,,,
D250M5-ex2,25,145,29,0,50,0,1,1,,,,,,,,,,,,,,,,,,,,
D500M1-ex2,150,250,50,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
D500M2-ex2,200,50,150,50,49,1,0,,,,,,,,,,,,,,,,,,,,,
D500M3-ex2,70,50,220,154,0,1,5,1,,,,,,,,,,,,,,,,,,,,
D500M4-ex2,210,50,0,210,24,1,5,,,,,,,,,,,,,,,,,,,,,
D500M5-ex2,54,275,70,0,100,0,1,1,,,,,,,,,,,,,,,,,,,,
D1000M1-ex2,300,500,100,100,0,0,0,,,,,,,,,,,,,,,,,,,,,
D1000M2-ex2,400,100,300,100,99,1,0,,,,,,,,,,,,,,,,,,,,,
D1000M3-ex2,194,100,400,300,0,1,5,1,,,,,,,,,,,,,,,,,,,,
D1000M4-ex2,444,100,0,400,50,1,5,,,,,,,,,,,,,,,,,,,,,
D1000M5-ex2,100,550,149,0,200,0,1,1,,,,,,,,,,,,,,,,,,,,
DLarv1-ex2,75,125,49,0,,,1,,,,,,,,,,,,,,,,,,,,,
DLarv2-ex2,100,25,100,25,,,0,,,,,,,,,,,,,,,,,,,,,
DLarv3-ex2,40,29,100,80,,,1,,,,,,,,,,,,,,,,,,,,,
DLarv4-ex2,100,50,0,100,,,0,,,,,,,,,,,,,,,,,,,,,
DLarv5-ex2,0,190,19,40,,,1,,,,,,,,,,,,,,,,,,,,,
SynMock1-ex2,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
M2ACV-ex1,,,,,,,1,1,75,,,,,,,,,,,,,,,,,,,
M2DC-ex1,,,,,,1,,1,175,,,,,,,,,,,,,,,,,,,
M2FF-ex1,,,,,,,,,45,,,,,,,,,,,,,,,,,,,
M4ACV-ex1,,,,,,,,,50,,,,,,,,,,,,,,,,,,,
M4DC-ex1,,,,,,1,1,1,300,,,,,,,,,,,,,,,,,,,
M4FF-ex1,,,,,,,1,,100,,,,,,,,,,,,,,,,,,,
M6ACV-ex1,,,,,,,,,45,,,,,,,,,,,,,,,,,,,
M6DC-ex1,,,,,,1,1,,180,,,,,,,,,,,,,,,,,,,
M6FF-ex1,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
T10ACV-ex1,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
T10DC-ex1,,,,,,,,,130,,,,,,,,,,,,,,,,,,,
T10FF-ex1,,,,,,,,,200,,,,,,,,,,,,,,,,,,,
T10SPD-ex1,,,,,,,1,,490,,,,,,,,,,,,,,,,,,,
T2ACV-ex1,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
T2DC-ex1,,,,,,1,,1,120,,,,,,,,,,,,,,,,,,,
T2SPD-ex1,,,,,,,,1,340,,,,,,,,,,,,,,,,,,,
T4ACV-ex1,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
T4DC-ex1,,,,,,,,,80,,,,,,,,,,,,,,,,,,,
T4FF-ex1,,,,,,1,1,,400,,,,,,,,,,,,,,,,,,,
T4SPD-ex1,,,,,,,,,119,,,,,,,,,,,,,,,,,,,
