Sample,Drosophila_melanogaster,Drosophila_simulans,Drosophila_hydei,Scaptodrosophila_lattivitata,Drosophila_immigrans,Drosophila_subpulchrella,Drosophila_suzukii,Drosophila_biarmipes,Other,Carpophilus_davidsoni,Carpophilus_nr.dimidiatus,Carpophilus_hemipterus,Urophorus_humeralis,Brachypeplus_Sp,carpophilus_other,Synthetic_Drosophilidae,Synthetic_Tephritidae,Synthetic_Culicidae,Synthetic_Nitidulidae,Synthetic_Cerambycidae,Synthetic_Tortricidae,Synthetic_Crambidae,Synthetic_Aphididae,Synthetic_Triozidae,Synthetic_Apidae,Synthetic_Siricidae,Synthetic_Acrididae,Synthetic_Thripidae,Carpophilus_nepos,Carpophilus_marginalus,Synthetic_denom
SynMock1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
M2ACV,0,0,0,0,0,0,1,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2DC,0,0,0,0,0,1,0,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2FF,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4ACV,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4DC,0,0,0,0,0,1,1,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4FF,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M6ACV,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M6DC,0,0,0,0,0,1,1,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M6FF,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T10ACV,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T10DC,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T10FF,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T10SPD,0,0,0,0,0,0,1,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2ACV,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2DC,0,0,0,0,0,1,0,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2SPD,0,0,0,0,0,0,0,1,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4ACV,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4DC,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4FF,0,0,0,0,0,1,1,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4SPD,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
