"","Genus","CB3DR_fwhF2-fwhR2n-CM1","CB3DR_fwhF2-fwhR2n-CM2","CB3DR_fwhF2-fwhR2n-CM3","CB3DR_fwhF2-fwhR2n-CM4","CB3DR_fwhF2-fwhR2n-CM5","HLVKYDMXX_CM1","HLVKYDMXX_CM10","HLVKYDMXX_CM10-s","HLVKYDMXX_CM11","HLVKYDMXX_CM11-s","HLVKYDMXX_CM2","HLVKYDMXX_CM3","HLVKYDMXX_CM4","HLVKYDMXX_CM5","HLVKYDMXX_CM6","HLVKYDMXX_CM6-s","HLVKYDMXX_CM7","HLVKYDMXX_CM7-s","HLVKYDMXX_CM9","HLVKYDMXX_CM9-s","HLVKYDMXX_CML1","HLVKYDMXX_CML2","HLVKYDMXX_CML3","HLVKYDMXX_CML4","HLVKYDMXX_CML5","HLVKYDMXX_CML6","HLVKYDMXX_CT1","HLVKYDMXX_CT1-s","HLVKYDMXX_CT10","HLVKYDMXX_CT11","HLVKYDMXX_CT12","HLVKYDMXX_CT3","HLVKYDMXX_CT3-s","HLVKYDMXX_CT4","HLVKYDMXX_CT4-s","HLVKYDMXX_CT5","HLVKYDMXX_CT5-s","HLVKYDMXX_CT5dup","HLVKYDMXX_CT6-s","HLVKYDMXX_CT7-s","HLVKYDMXX_CT8","HLVKYDMXX_CT8-s","HLVKYDMXX_CT9","HLVKYDMXX_CT9-s"
"1","Acarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Achroia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Agrotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ahasverus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,236,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,357,116,1353,2,NA,NA,NA,27,NA,10,NA,NA,58,6,844696,24831
"5","Alaus",NA,NA,NA,NA,NA,5,1,NA,1,3,4,43,NA,9,448,2,174,11,69,2,11,NA,NA,NA,NA,NA,NA,NA,14,15,278,78,9,4,NA,20,1,20,30,7,17,2,112,10
"6","Anthrenus",NA,NA,NA,182,1527,26,65,257,NA,258,1200,NA,158,35788,382,NA,281,13,5824,445,827,NA,NA,NA,NA,NA,NA,NA,596,151,NA,9273,927,415,78,6297,1056,1451,327,410,1050,532,9598,316
"7","Aphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Apis",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,38,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"9","Bactrocera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,22,NA
"10","Badumna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,6,NA,NA,NA
"11","Bisnius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"12","Brachycaudus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
"13","Brachypeplus",29045,20402,56057,71917,180604,33395,3,10,57398,105441,878470,1334160,33532,2169695,1189,14,3383482,185065,55,12,110588,87,NA,NA,NA,NA,36,41,9800,5100,59323,4743320,518999,238134,11192,1728036,283607,1750772,9980,503466,1044078,211766,802012,25467
"14","Bradysia",NA,NA,14,21,2,NA,NA,NA,NA,3,5,2237,159,177,14626,99,492,10,372,39,NA,NA,NA,NA,NA,NA,NA,NA,180,27,NA,NA,3,2,NA,1911,423,2660,20,870,1,NA,8,NA
"15","Brommella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"16","Buchananiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Calliphora",NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,106,2,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Carpophilus",110772,100453,105070,19767,69752,390194,129328,616387,80990,152351,5409320,4284579,18030,1328317,8463905,85250,8191252,540354,6194972,467154,102970,6016630,6693878,402228,5872918,321463,259641,114667,121059,123687,4775444,3723805,289595,384027,17332,4691113,614647,2217976,12790,607778,4366171,848289,4671113,136197
"19","Cerobasis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,4,42,2,1,NA,229,27,1,NA,NA,18059,3429,2170,65
"20","Chrysomya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3012,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Coboldia",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,5,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
"22","Coccinella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"23","Conoderus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"24","Creontiades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"25","Cryptachaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,2,NA,31,4,NA,NA,NA,NA,NA,40,5,NA,3,NA,2934,572,41457,2276
"26","Cryptolestes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,975,148,15,NA,NA,NA,139,26,NA,NA,NA,NA,NA,NA,NA
"27","Dermestes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"28","Diaeretiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Dictyotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,62,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Drosophila",19,13,16,NA,363,1,10,53,482,769,240,152,NA,3188,953,45,8945,460,31,6935,137,69,3,NA,9,8,NA,3,23,NA,52,31,2,4,NA,114,31,99,NA,34,34759,6025,10723,484
"31","Ectomyelois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,71,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"32","Elachista",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Elattoma",NA,NA,NA,NA,NA,NA,NA,NA,43,90,NA,19,NA,NA,33,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Epiphyas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
